Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2,Validation R2,Overfit Warning
Linear Regression,25679.688996906516,30141.089219032227,38349.831871667135,48437.57429996949,0.8043396462530128,0.7547606785016467,0.7832955712454459,False
Random Forest,5233.402168000537,13578.705683999859,7958.194234311552,21573.81327874573,0.9915743197252295,0.9513504121868128,0.9181350860342391,False
XGBoost,1240.643134187222,12035.94757874298,1591.627594768807,19653.99576661394,0.9996629775542212,0.9596236505779993,0.9376592022973641,False
